2.00
3.00
4.00
5.00
6.00
7.00
8.00,157.440
9.00,157.990
10.00,78.380,168.320
11.00,83.870,142.830
12.00,83.490,157.040,370.190
13.00,80.900,151.310,369.230
14.00,91.960,159.410,370.130
15.00,92.960,168.700,367.080
16.00,111.790,170.860,369.410
17.00,96.760,156.150,370.630
18.00,90.830,161.370,371.500
19.00,117.820,167.130,371.080
20.00,116.110,164.230,373.700
21.00,104.050,169.860,371.750
22.00,93.770,171.360,378.360
23.00,105.580,160.920,372.540
24.00,110.080,167.890,378.320
25.00,115.940,152.230,368.520
26.00,112.640,182.910,373.370
27.00,121.080,171.360,370.320
28.00,122.370,169.840,372.120
29.00,108.630,181.070,370.560
30.00,113.270,174.540,358.250
31.00,117.000,189.590,360.050
32.00,120.980,188.370,358.070
33.00,124.530,216.050,363.680
34.00,129.460,212.150,366.290
35.00,102.490,186.560,357.790
36.00,128.580,215.910,360.670
37.00,146.420,205.330,358.110
38.00,126.370,219.670,350.380
39.00,147.050,233.240,354.460
40.00,143.320,248.180,348.480
41.00,141.510,249.710,355.730
42.00,145.290,275.240,348.200
43.00,130.550,264.870,351.150
44.00,146.320,278.460,339.650
45.00,164.060,288.100,340.060
46.00,151.610,290.090,334.020
47.00,152.850,303.570,322.910
48.00,147.290,305.740,323.430
49.00,162.840,303.310,326.100
50.00,174.220,301.600,319.990
51.00,184.950,312.360,338.620
52.00,186.290,310.430,324.420
53.00,196.480,309.990,336.730
54.00,226.730,301.340,346.960
55.00,195.160,305.140,349.590
56.00,246.470,295.040,347.470
57.00,237.490,300.700,357.510
58.00,252.640,285.670,366.770
59.00,236.360,286.790,386.560
60.00,255.410,276.290,380.900
61.00,267.250,273.630,408.560
62.00,268.390,282.770,418.470
63.00,266.490,271.880,424.360
64.00,262.840,301.020,427.910
65.00,254.600,295.070,444.790
66.00,246.240,317.130,456.860
67.00,245.090,332.640
68.00,240.060,339.530
69.00,232.470,356.640
70.00,229.250,365.880
71.00,223.670,360.190
72.00,213.270,378.740
73.00,215.080,377.350
74.00,204.620,383.750
75.00,199.860,414.950
76.00,197.920,416.180
77.00,191.070,425.630
78.00,186.790,444.730
79.00,182.990,451.710
80.00,178.130
81.00,166.690
82.00,162.120
83.00,153.310
84.00
85.00
86.00
87.00
88.00
89.00
90.00
91.00
92.00
93.00
94.00
95.00
96.00
97.00
98.00
99.00
100.00
